9
U  366d-7   1.790d-20
B  438d-7   4.063d-20
V  545d-7   3.636d-20
R  641d-7   3.064d-20
I  798d-7   2.416d-20
J  1220d-7  1.589d-20
H  1630d-7  1.021d-20
K  2190d-7  0.640d-20
L  3450d-7  0.285d-20


Below are valid entries for
wavelength (cm) and absolute flux
U  366d-7   1.790d-20
B  438d-7   4.063d-20
V  545d-7   3.636d-20
R  641d-7   3.064d-20
I  798d-7   2.416d-20
J  1220d-7  1.589d-20
H  1630d-7  1.021d-20
K  2190d-7  0.640d-20
L  3450d-7  0.285d-20
Kp 2124d-7  0.676d-20
Lp 3776d-7  0.248d-20
M  4769d-7  0.160d-20
